AnomalyRate,SADWIN,PADWIN,NDKSWIN
1,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,1,0,0
1,0,0,0
1,0,0,0
1,1,0,0
1,1,0,1
1,0,0,1
1,0,0,0
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
0,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,0
1,1,0,0
1,0,0,0
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
,id,mean_acc_[O_IFA],current_acc_[O_IFA],mean_acc_[SADWIN_IFA],current_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],current_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],current_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],current_f1_[O_IFA],mean_f1_[SADWIN_IFA],current_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],current_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],current_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],current_precision_[O_IFA],mean_precision_[SADWIN_IFA],current_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],current_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],current_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],current_recall_[O_IFA],mean_recall_[SADWIN_IFA],current_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],current_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],current_recall_[NDKSWIN_IFA],true_value,predicted_value_[O_IFA],predicted_value_[SADWIN_IFA],predicted_value_[PADWIN_IFA],predicted_value_[NDKSWIN_IFA],mean_kappa_[O_IFA],current_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],current_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],current_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],current_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],current_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],current_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],current_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],current_kappa_m_[NDKSWIN_IFA],training_time_[O_IFA],testing_time_[O_IFA],total_running_time_[O_IFA],training_time_[SADWIN_IFA],testing_time_[SADWIN_IFA],total_running_time_[SADWIN_IFA],training_time_[PADWIN_IFA],testing_time_[PADWIN_IFA],total_running_time_[PADWIN_IFA],training_time_[NDKSWIN_IFA],testing_time_[NDKSWIN_IFA],total_running_time_[NDKSWIN_IFA],model_size_[O_IFA],model_size_[SADWIN_IFA],model_size_[PADWIN_IFA],model_size_[NDKSWIN_IFA],param,window,estimators
