AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN,param,window,estimators
1,100,0,100,0,100,0,100,result_Number0_for_WS100_NE20updated_count.csv,100,20
1,200,0,200,0,200,1,200,,,
1,300,0,300,0,300,0,300,,,
1,400,0,400,0,400,0,400,,,
1,500,0,500,0,500,0,500,,,
1,600,0,600,0,600,0,600,,,
1,700,0,700,0,700,0,700,,,
1,800,0,800,0,800,0,800,,,
1,900,0,900,0,900,0,900,,,
1,100,0,100,0,100,0,100,result_Number0_for_WS100_NE30updated_count.csv,100,30
1,200,0,200,0,200,0,200,,,
1,300,0,300,0,300,0,300,,,
1,400,0,400,0,400,1,400,,,
1,500,0,500,0,500,0,500,,,
1,600,0,600,0,600,0,600,,,
1,700,0,700,0,700,0,700,,,
1,800,0,800,0,800,0,800,,,
1,900,0,900,0,900,0,900,,,
1,250,0,250,0,250,0,250,result_Number0_for_WS250_NE20updated_count.csv,250,20
1,500,0,500,0,500,0,500,,,
1,750,0,750,0,750,0,750,,,
1,250,0,250,0,250,0,250,result_Number0_for_WS250_NE30updated_count.csv,250,30
1,500,0,500,0,500,1,500,,,
1,750,0,750,0,750,0,750,,,
1,50,0,50,0,50,0,50,result_Number0_for_WS50_NE20updated_count.csv,50,20
1,100,0,100,0,100,0,100,,,
1,150,0,150,0,150,0,150,,,
1,200,0,200,0,200,0,200,,,
1,250,0,250,0,250,0,250,,,
1,300,0,300,0,300,1,300,,,
1,350,0,350,0,350,0,350,,,
1,400,0,400,0,400,0,400,,,
1,450,0,450,0,450,0,450,,,
1,500,0,500,0,500,0,500,,,
1,550,0,550,0,550,1,550,,,
1,600,0,600,0,600,0,600,,,
1,650,0,650,0,650,0,650,,,
1,700,0,700,0,700,0,700,,,
1,750,0,750,0,750,0,750,,,
1,800,0,800,0,800,0,800,,,
1,850,0,850,0,850,0,850,,,
1,900,0,900,0,900,1,900,,,
1,950,0,950,0,950,0,950,,,
1,50,0,50,0,50,0,50,result_Number0_for_WS50_NE30updated_count.csv,50,30
1,100,0,100,0,100,1,100,,,
1,150,0,150,0,150,0,150,,,
1,200,0,200,0,200,0,200,,,
1,250,0,250,0,250,0,250,,,
1,300,0,300,0,300,0,300,,,
1,350,0,350,0,350,1,350,,,
1,400,0,400,0,400,0,400,,,
1,450,0,450,0,450,0,450,,,
1,500,0,500,0,500,0,500,,,
1,550,0,550,0,550,0,550,,,
1,600,0,600,0,600,1,600,,,
1,650,0,650,0,650,0,650,,,
1,700,0,700,0,700,0,700,,,
1,750,0,750,0,750,0,750,,,
1,800,0,800,0,800,0,800,,,
1,850,0,850,0,850,0,850,,,
1,900,0,900,0,900,0,900,,,
1,950,0,950,0,950,0,950,,,
