0,1,2,3,4,5,6,7
AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN
1,500,0,1000,0,1000,0,500
1,1000,0,1500,0,1500,0,1000
1,1500,0,2000,0,2000,1,1500
1,2000,0,2500,0,2500,0,2000
1,2500,0,3000,0,3000,0,2500
1,3000,0,3500,0,3500,0,3000
1,3500,0,4000,0,4000,0,3500
1,4000,0,4500,0,4500,0,4000
1,4500,0,5000,0,5000,0,4500
1,5000,0,5500,0,5500,0,5000
1,5500,0,6000,0,6000,0,5500
1,6000,0,6500,0,6500,0,6000
1,6500,0,7000,0,7000,0,6500
1,7000,0,7500,0,7500,1,7000
1,7500,0,8000,0,8000,0,7500
1,8000,0,8500,0,8500,0,8000
1,8500,0,9000,0,9000,0,8500
1,9000,0,9500,0,9500,0,9000
1,9500,,,,,0,9500
