AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN,param,window,estimators
1,50,0,50,0,50,0,50,result_Number0_for_WS50_NE5updated_count.csv,50,5
1,100,1,100,0,100,0,100,,,
1,150,0,150,0,150,1,150,,,
1,200,1,200,0,200,0,200,,,
1,250,0,250,0,250,0,250,,,
1,300,1,300,0,300,0,300,,,
1,350,0,350,0,350,1,350,,,
1,400,0,400,0,400,0,400,,,
1,450,0,450,0,450,0,450,,,
1,500,0,500,0,500,0,500,,,
1,550,0,550,0,550,0,550,,,
1,600,0,600,0,600,0,600,,,
1,650,0,650,0,650,1,650,,,
1,700,0,700,0,700,0,700,,,
1,750,0,750,0,750,0,750,,,
1,800,0,800,0,800,0,800,,,
1,850,0,850,0,850,0,850,,,
1,900,0,900,0,900,0,900,,,
1,950,0,950,0,950,0,950,,,
,id,mean_acc_[O_IFA],current_acc_[O_IFA],mean_acc_[SADWIN_IFA],current_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],current_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],current_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],current_f1_[O_IFA],mean_f1_[SADWIN_IFA],current_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],current_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],current_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],current_precision_[O_IFA],mean_precision_[SADWIN_IFA],current_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],current_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],current_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],current_recall_[O_IFA],mean_recall_[SADWIN_IFA],current_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],current_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],current_recall_[NDKSWIN_IFA],true_value,predicted_value_[O_IFA],predicted_value_[SADWIN_IFA],predicted_value_[PADWIN_IFA],predicted_value_[NDKSWIN_IFA],mean_kappa_[O_IFA],current_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],current_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],current_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],current_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],current_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],current_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],current_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],current_kappa_m_[NDKSWIN_IFA],training_time_[O_IFA],testing_time_[O_IFA],total_running_time_[O_IFA],training_time_[SADWIN_IFA],testing_time_[SADWIN_IFA],total_running_time_[SADWIN_IFA],training_time_[PADWIN_IFA],testing_time_[PADWIN_IFA],total_running_time_[PADWIN_IFA],training_time_[NDKSWIN_IFA],testing_time_[NDKSWIN_IFA],total_running_time_[NDKSWIN_IFA],model_size_[O_IFA],model_size_[SADWIN_IFA],model_size_[PADWIN_IFA],model_size_[NDKSWIN_IFA],param,window,estimators
0,999,0.325325,0.325325,0.405405,0.405405,0.193193,0.193193,0.349349,0.349349,0.277573,0.277573,0.323715,0.323715,0.212560,0.212560,0.279852,0.279852,0.327672,0.327672,0.337335,0.337335,0.323678,0.323678,0.322720,0.322720,0.249948,0.249948,0.294465,0.294465,0.235547,0.235547,0.231485,0.231485,0.000000,1.000000,1.000000,1.000000,1.000000,-0.016855,-0.016855,0.005725,0.005725,-0.020115,-0.020115,-0.027220,-0.027220,-10.824561,-10.824561,-9.421053,-9.421053,-13.140351,-13.140351,-10.403509,-10.403509,0.326679,4.743758,5.070437,0.250597,4.735807,4.986404,0.176553,4.445103,4.621656,0.110108,4.658578,4.768686,131.784180,130.348633,139.278320,138.332031,result_Number0_for_WS50_NE5.csv,50,5
