AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN,param,window,estimators
0,500,0,1000,1,1000,0,500,result_Number0_for_WS500_NE30updated_count.csv,500,30
0,1000,1,1500,0,1500,1,1000,,,
0,1500,0,2000,1,2000,0,1500,,,
0,2000,0,2500,0,2500,0,2000,,,
0,2500,1,3000,1,3000,0,2500,,,
0,3000,0,3500,0,3500,0,3000,,,
0,3500,0,4000,1,4000,0,3500,,,
0,4000,0,4500,1,4500,0,4000,,,
0,4500,1,5000,0,5000,0,4500,,,
0,5000,0,5500,0,5500,0,5000,,,
0,5500,0,6000,0,6000,0,5500,,,
0,6000,1,6500,0,6500,1,6000,,,
0,6500,0,7000,1,7000,0,6500,,,
0,7000,0,7500,0,7500,0,7000,,,
0,7500,0,8000,0,8000,0,7500,,,
0,8000,0,8500,1,8500,0,8000,,,
0,8500,0,9000,0,9000,0,8500,,,
0,9000,0,9500,0,9500,0,9000,,,
0,9500,,,,,0,9500,,,
0,100,0,200,0,200,0,100,result_Number0_for_WS100_NE30updated_count.csv,100,30
0,200,0,300,0,300,1,200,,,
0,300,0,400,0,400,0,300,,,
0,400,0,500,0,500,0,400,,,
0,500,0,600,1,600,0,500,,,
0,600,0,700,0,700,0,600,,,
0,700,0,800,0,800,0,700,,,
0,800,0,900,0,900,0,800,,,
0,900,1,1000,1,1000,1,900,,,
0,1000,0,1100,0,1100,0,1000,,,
0,1100,0,1200,0,1200,0,1100,,,
0,1200,0,1300,0,1300,0,1200,,,
0,1300,0,1400,0,1400,0,1300,,,
0,1400,0,1500,0,1500,0,1400,,,
0,1500,0,1600,1,1600,0,1500,,,
0,1600,0,1700,0,1700,0,1600,,,
0,1700,0,1800,0,1800,1,1700,,,
0,1800,0,1900,0,1900,0,1800,,,
0,1900,0,2000,0,2000,0,1900,,,
0,2000,0,2100,0,2100,0,2000,,,
0,2100,0,2200,0,2200,0,2100,,,
0,2200,0,2300,0,2300,0,2200,,,
0,2300,0,2400,0,2400,0,2300,,,
0,2400,0,2500,0,2500,1,2400,,,
0,2500,0,2600,0,2600,0,2500,,,
0,2600,0,2700,0,2700,0,2600,,,
0,2700,0,2800,1,2800,0,2700,,,
0,2800,0,2900,0,2900,0,2800,,,
0,2900,1,3000,0,3000,0,2900,,,
0,3000,0,3100,0,3100,0,3000,,,
0,3100,0,3200,0,3200,0,3100,,,
0,3200,0,3300,0,3300,1,3200,,,
0,3300,0,3400,0,3400,0,3300,,,
0,3400,0,3500,0,3500,0,3400,,,
0,3500,0,3600,1,3600,0,3500,,,
0,3600,0,3700,0,3700,0,3600,,,
0,3700,0,3800,0,3800,0,3700,,,
0,3800,0,3900,0,3900,0,3800,,,
0,3900,1,4000,0,4000,0,3900,,,
0,4000,0,4100,0,4100,1,4000,,,
0,4100,0,4200,0,4200,0,4100,,,
0,4200,1,4300,1,4300,0,4200,,,
0,4300,0,4400,0,4400,0,4300,,,
0,4400,0,4500,1,4500,0,4400,,,
0,4500,0,4600,0,4600,0,4500,,,
0,4600,0,4700,0,4700,0,4600,,,
0,4700,0,4800,1,4800,0,4700,,,
0,4800,0,4900,0,4900,1,4800,,,
0,4900,0,5000,0,5000,0,4900,,,
0,5000,0,5100,1,5100,0,5000,,,
0,5100,0,5200,0,5200,0,5100,,,
0,5200,0,5300,0,5300,0,5200,,,
0,5300,0,5400,0,5400,0,5300,,,
0,5400,0,5500,0,5500,0,5400,,,
0,5500,0,5600,0,5600,0,5500,,,
0,5600,0,5700,0,5700,0,5600,,,
0,5700,0,5800,0,5800,1,5700,,,
0,5800,0,5900,0,5900,0,5800,,,
0,5900,0,6000,0,6000,0,5900,,,
0,6000,0,6100,1,6100,0,6000,,,
0,6100,0,6200,0,6200,0,6100,,,
0,6200,0,6300,0,6300,0,6200,,,
0,6300,0,6400,0,6400,0,6300,,,
0,6400,0,6500,0,6500,0,6400,,,
0,6500,1,6600,0,6600,0,6500,,,
0,6600,0,6700,0,6700,0,6600,,,
0,6700,0,6800,0,6800,0,6700,,,
0,6800,0,6900,0,6900,1,6800,,,
0,6900,0,7000,0,7000,0,6900,,,
0,7000,0,7100,0,7100,0,7000,,,
0,7100,0,7200,0,7200,0,7100,,,
0,7200,0,7300,0,7300,0,7200,,,
0,7300,0,7400,0,7400,0,7300,,,
0,7400,0,7500,1,7500,0,7400,,,
0,7500,0,7600,0,7600,0,7500,,,
0,7600,0,7700,1,7700,0,7600,,,
0,7700,0,7800,0,7800,0,7700,,,
0,7800,0,7900,1,7900,0,7800,,,
0,7900,0,8000,0,8000,0,7900,,,
0,8000,0,8100,0,8100,1,8000,,,
0,8100,0,8200,0,8200,0,8100,,,
0,8200,0,8300,0,8300,0,8200,,,
0,8300,0,8400,0,8400,0,8300,,,
0,8400,0,8500,0,8500,0,8400,,,
0,8500,0,8600,0,8600,0,8500,,,
0,8600,0,8700,0,8700,0,8600,,,
0,8700,0,8800,0,8800,0,8700,,,
0,8800,0,8900,0,8900,0,8800,,,
0,8900,0,9000,0,9000,0,8900,,,
0,9000,0,9100,0,9100,0,9000,,,
0,9100,0,9200,0,9200,0,9100,,,
0,9200,0,9300,0,9300,0,9200,,,
0,9300,0,9400,0,9400,0,9300,,,
0,9400,0,9500,0,9500,0,9400,,,
0,9500,0,9600,0,9600,0,9500,,,
0,9600,0,9700,0,9700,0,9600,,,
0,9700,0,9800,0,9800,0,9700,,,
0,9800,0,9900,0,9900,0,9800,,,
0,9900,,,,,0,9900,,,
,id,mean_acc_[O_IFA],current_acc_[O_IFA],mean_acc_[SADWIN_IFA],current_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],current_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],current_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],current_f1_[O_IFA],mean_f1_[SADWIN_IFA],current_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],current_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],current_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],current_precision_[O_IFA],mean_precision_[SADWIN_IFA],current_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],current_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],current_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],current_recall_[O_IFA],mean_recall_[SADWIN_IFA],current_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],current_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],current_recall_[NDKSWIN_IFA],training_time_[O_IFA],testing_time_[O_IFA],total_running_time_[O_IFA],training_time_[SADWIN_IFA],testing_time_[SADWIN_IFA],total_running_time_[SADWIN_IFA],training_time_[PADWIN_IFA],testing_time_[PADWIN_IFA],total_running_time_[PADWIN_IFA],training_time_[NDKSWIN_IFA],testing_time_[NDKSWIN_IFA],total_running_time_[NDKSWIN_IFA],model_size_[O_IFA],model_size_[SADWIN_IFA],model_size_[PADWIN_IFA],model_size_[NDKSWIN_IFA],param,window,estimators
0,9999,0.680668,0.680668,0.389039,0.389039,0.478048,0.478048,0.400140,0.400140,0.595844,0.595844,0.346403,0.346403,0.407466,0.407466,0.357687,0.357687,0.453200,0.453200,0.301657,0.301657,0.332905,0.332905,0.310076,0.310076,0.506185,0.506185,0.287608,0.287608,0.330708,0.330708,0.299371,0.299371,5.860521,840.849893,846.710415,6.197455,844.643978,850.841433,6.598041,870.736913,877.334954,0.641756,849.815687,850.457443,638.572266,620.317383,640.875977,640.871094,result_Number0_for_WS100_NE30.csv,100,30
1,9999,0.782578,0.782578,0.561156,0.561156,0.584758,0.584758,0.557856,0.557856,0.696180,0.696180,0.448101,0.448101,0.451003,0.451003,0.417969,0.417969,0.515847,0.515847,0.348576,0.348576,0.347917,0.347917,0.325121,0.325121,0.561031,0.561031,0.339995,0.339995,0.336838,0.336838,0.308853,0.308853,7.531106,5296.772770,5304.303875,7.598679,5452.133287,5459.731965,8.012378,5492.700970,5500.713348,0.404890,5428.815148,5429.220037,1950.798828,2166.848633,2002.575195,2160.726562,result_Number0_for_WS500_NE30.csv,500,30
