AnomalyRate,SADWIN,PADWIN,NDKSWIN
1,0,0,0
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,0
1,0,0,0
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,0
1,0,0,0
1,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,1,0,0
1,0,0,0
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,0
1,1,0,0
1,0,0,0
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
,id,mean_acc_[O_IFA],current_acc_[O_IFA],mean_acc_[SADWIN_IFA],current_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],current_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],current_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],current_f1_[O_IFA],mean_f1_[SADWIN_IFA],current_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],current_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],current_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],current_precision_[O_IFA],mean_precision_[SADWIN_IFA],current_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],current_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],current_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],current_recall_[O_IFA],mean_recall_[SADWIN_IFA],current_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],current_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],current_recall_[NDKSWIN_IFA],true_value,predicted_value_[O_IFA],predicted_value_[SADWIN_IFA],predicted_value_[PADWIN_IFA],predicted_value_[NDKSWIN_IFA],mean_kappa_[O_IFA],current_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],current_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],current_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],current_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],current_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],current_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],current_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],current_kappa_m_[NDKSWIN_IFA],training_time_[O_IFA],testing_time_[O_IFA],total_running_time_[O_IFA],training_time_[SADWIN_IFA],testing_time_[SADWIN_IFA],total_running_time_[SADWIN_IFA],training_time_[PADWIN_IFA],testing_time_[PADWIN_IFA],total_running_time_[PADWIN_IFA],training_time_[NDKSWIN_IFA],testing_time_[NDKSWIN_IFA],total_running_time_[NDKSWIN_IFA],model_size_[O_IFA],model_size_[SADWIN_IFA],model_size_[PADWIN_IFA],model_size_[NDKSWIN_IFA],param,window,estimators
0,999,0.384384,0.384384,0.423423,0.423423,0.398398,0.398398,0.420420,0.420420,0.357964,0.357964,0.397833,0.397833,0.366780,0.366780,0.393560,0.393560,0.295743,0.295743,0.328593,0.328593,0.300228,0.300228,0.324169,0.324169,0.262098,0.262098,0.294638,0.294638,0.266332,0.266332,0.290273,0.290273,0.000000,1.000000,1.000000,1.000000,0.000000,-0.089136,-0.089136,-0.011489,-0.011489,-0.080225,-0.080225,-0.021915,-0.021915,-0.808824,-0.808824,-0.694118,-0.694118,-0.767647,-0.767647,-0.702941,-0.702941,0.779046,29.509104,30.288151,0.487139,29.183676,29.670815,0.340077,28.616305,28.956382,0.479371,29.379495,29.858866,425.270508,442.632812,482.953125,443.810547,result_Number0_for_WS100_NE20.csv,100,20
1,999,0.400400,0.400400,0.382382,0.382382,0.350350,0.350350,0.410410,0.410410,0.367940,0.367940,0.357992,0.357992,0.329386,0.329386,0.381280,0.381280,0.300777,0.300777,0.296922,0.296922,0.275648,0.275648,0.312901,0.312901,0.266869,0.266869,0.263459,0.263459,0.243002,0.243002,0.279046,0.279046,0.000000,1.000000,1.000000,1.000000,0.000000,-0.079108,-0.079108,-0.085313,-0.085313,-0.132695,-0.132695,-0.049024,-0.049024,-0.761765,-0.761765,-0.814706,-0.814706,-0.908824,-0.908824,-0.732353,-0.732353,1.099567,42.528037,43.627604,0.584765,41.704731,42.289496,0.441924,41.891885,42.333809,0.696516,42.442316,43.138832,665.922852,660.207031,658.121094,614.599609,result_Number0_for_WS100_NE30.csv,100,30
2,999,0.336336,0.336336,0.305305,0.305305,0.296296,0.296296,0.290290,0.290290,0.351044,0.351044,0.316774,0.316774,0.311507,0.311507,0.303314,0.303314,0.327032,0.327032,0.293106,0.293106,0.294404,0.294404,0.283313,0.283313,0.248259,0.248259,0.221189,0.221189,0.225179,0.225179,0.215026,0.215026,0.000000,0.000000,1.000000,0.000000,0.000000,-0.006822,-0.006822,-0.062658,-0.062658,-0.053265,-0.053265,-0.074593,-0.074593,-0.950000,-0.950000,-1.041176,-1.041176,-1.067647,-1.067647,-1.085294,-1.085294,0.654933,69.465629,70.120562,0.449494,69.571075,70.020569,0.388693,69.046151,69.434844,0.249402,69.200262,69.449664,807.653320,843.300781,839.539062,844.111328,result_Number0_for_WS250_NE20.csv,250,20
3,999,0.309309,0.309309,0.322322,0.322322,0.342342,0.342342,0.325325,0.325325,0.322502,0.322502,0.338366,0.338366,0.352146,0.352146,0.338590,0.338590,0.300174,0.300174,0.319312,0.319312,0.321295,0.321295,0.314036,0.314036,0.227484,0.227484,0.243076,0.243076,0.242752,0.242752,0.237950,0.237950,0.000000,0.000000,0.000000,0.000000,0.000000,-0.049351,-0.049351,-0.017231,-0.017231,-0.018453,-0.018453,-0.028013,-0.028013,-1.029412,-1.029412,-0.991176,-0.991176,-0.932353,-0.932353,-0.982353,-0.982353,0.965643,97.312845,98.278488,0.525896,95.866602,96.392499,0.498768,94.442891,94.941658,0.182908,95.679079,95.861988,1133.708008,1207.285156,1277.003906,1246.990234,result_Number0_for_WS250_NE30.csv,250,30
4,999,0.476476,0.476476,0.397397,0.397397,0.475475,0.475475,0.465465,0.465465,0.419356,0.419356,0.351155,0.351155,0.421202,0.421202,0.405871,0.405871,0.327617,0.327617,0.279233,0.279233,0.329906,0.329906,0.316806,0.316806,0.310057,0.310057,0.258707,0.258707,0.312398,0.312398,0.298798,0.298798,0.000000,0.000000,1.000000,1.000000,1.000000,-0.015376,-0.015376,-0.146713,-0.146713,-0.009184,-0.009184,-0.045155,-0.045155,-0.538235,-0.538235,-0.770588,-0.770588,-0.541176,-0.541176,-0.570588,-0.570588,1.054351,14.970117,16.024468,0.440436,14.851965,15.292401,0.326036,14.996591,15.322627,0.541432,14.874326,15.415758,260.028320,255.480469,277.378906,261.560547,result_Number0_for_WS50_NE20.csv,50,20
5,999,0.443443,0.443443,0.380380,0.380380,0.456456,0.456456,0.443443,0.443443,0.386729,0.386729,0.339411,0.339411,0.390916,0.390916,0.388590,0.388590,0.303154,0.303154,0.271956,0.271956,0.304310,0.304310,0.305055,0.305055,0.284348,0.284348,0.251058,0.251058,0.286178,0.286178,0.286246,0.286246,0.000000,1.000000,1.000000,1.000000,1.000000,-0.082800,-0.082800,-0.164224,-0.164224,-0.079639,-0.079639,-0.077440,-0.077440,-0.635294,-0.635294,-0.820588,-0.820588,-0.597059,-0.597059,-0.635294,-0.635294,1.410364,20.366741,21.777105,0.561506,20.042240,20.603747,0.430315,20.033371,20.463686,0.821493,20.286608,21.108101,337.012695,365.433594,396.808594,370.634766,result_Number0_for_WS50_NE30.csv,50,30
