param,window,estimators,AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN
result_Number0_for_WS100_NE30updated_count.csv,100,30,,,,,,,,
,,,1,100,0,100,0,100,0,100
,,,1,200,0,200,0,200,0,200
,,,1,300,0,300,0,300,0,300
,,,1,400,0,400,0,400,0,400
,,,1,500,0,500,0,500,0,500
,,,1,600,0,600,0,600,0,600
,,,1,700,0,700,0,700,1,700
,,,1,800,0,800,0,800,1,800
,,,1,900,0,900,0,900,1,900
,param,window,estimators,id,mean_acc_[O_IFA],current_acc_[O_IFA],mean_acc_[SADWIN_IFA],current_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],current_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],current_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],current_f1_[O_IFA],mean_f1_[SADWIN_IFA],current_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],current_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],current_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],current_precision_[O_IFA],mean_precision_[SADWIN_IFA],current_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],current_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],current_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],current_recall_[O_IFA],mean_recall_[SADWIN_IFA],current_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],current_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],current_recall_[NDKSWIN_IFA],true_value,predicted_value_[O_IFA],predicted_value_[SADWIN_IFA],predicted_value_[PADWIN_IFA],predicted_value_[NDKSWIN_IFA],mean_kappa_[O_IFA],current_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],current_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],current_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],current_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],current_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],current_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],current_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],current_kappa_m_[NDKSWIN_IFA],training_time_[O_IFA],testing_time_[O_IFA],total_running_time_[O_IFA],training_time_[SADWIN_IFA],testing_time_[SADWIN_IFA],total_running_time_[SADWIN_IFA],training_time_[PADWIN_IFA],testing_time_[PADWIN_IFA],total_running_time_[PADWIN_IFA],training_time_[NDKSWIN_IFA],testing_time_[NDKSWIN_IFA],total_running_time_[NDKSWIN_IFA],model_size_[O_IFA],model_size_[SADWIN_IFA],model_size_[PADWIN_IFA],model_size_[NDKSWIN_IFA]
0,result_Number0_for_WS100_NE30.csv,100,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,999,0.401401,0.401401,0.449449,0.449449,0.332332,0.332332,0.395395,0.395395,0.372434,0.372434,0.407437,0.407437,0.316920,0.316920,0.372139,0.372139,0.305948,0.305948,0.327789,0.327789,0.269006,0.269006,0.309248,0.309248,0.272121,0.272121,0.294027,0.294027,0.238643,0.238643,0.275730,0.275730,0.000000,1.000000,0.000000,1.000000,1.000000,-0.065659,-0.065659,-0.013573,-0.013573,-0.139968,-0.139968,-0.055922,-0.055922,-0.758824,-0.758824,-0.617647,-0.617647,-0.961765,-0.961765,-0.776471,-0.776471,1.102508,44.387536,45.490045,0.540225,43.246152,43.786377,0.525366,44.653011,45.178378,0.370412,44.206279,44.576691,652.545898,694.180664,628.141602,635.312500
