id,mean_acc_[M_IFA],current_acc_[M_IFA],mean_f1_[M_IFA],current_f1_[M_IFA],mean_precision_[M_IFA],current_precision_[M_IFA],mean_recall_[M_IFA],current_recall_[M_IFA],true_value,predicted_value_[M_IFA],mean_kappa_[M_IFA],current_kappa_[M_IFA],mean_kappa_m_[M_IFA],current_kappa_m_[M_IFA],training_time_[M_IFA],testing_time_[M_IFA],total_running_time_[M_IFA],model_size_[M_IFA],param,window,estimators,update_estimators
999,0.393393,0.393393,0.366788,0.366788,0.302720,0.302720,0.269023,0.269023,0.000000,0.000000,-0.072591,-0.072591,-0.782353,-0.782353,0.816042,49.962271,50.778313,606.227539,result_Number0_UR0.0_for_WS100_NE30.csv,100,30,0.0
999,0.426426,0.426426,0.390337,0.390337,0.316746,0.316746,0.282868,0.282868,0.000000,1.000000,-0.040650,-0.040650,-0.685294,-0.685294,0.857858,48.049546,48.907404,718.415039,result_Number0_UR0.1_for_WS100_NE30.csv,100,30,0.1
999,0.384384,0.384384,0.359913,0.359913,0.298432,0.298432,0.264945,0.264945,0.000000,1.000000,-0.081795,-0.081795,-0.808824,-0.808824,0.786840,47.125630,47.912470,643.395508,result_Number0_UR0.2_for_WS100_NE30.csv,100,30,0.2
999,0.397397,0.397397,0.374634,0.374634,0.311690,0.311690,0.278165,0.278165,0.000000,0.000000,-0.050081,-0.050081,-0.770588,-0.770588,0.779406,46.956305,47.735711,553.754883,result_Number0_UR0.30000000000000004_for_WS100_NE30.csv,100,30,0.30000000000000004
999,0.413413,0.413413,0.382933,0.382933,0.313496,0.313496,0.279614,0.279614,0.000000,1.000000,-0.047852,-0.047852,-0.723529,-0.723529,0.894613,47.386711,48.281324,644.360352,result_Number0_UR0.4_for_WS100_NE30.csv,100,30,0.4
999,0.395395,0.395395,0.370944,0.370944,0.307420,0.307420,0.273831,0.273831,0.000000,0.000000,-0.060659,-0.060659,-0.776471,-0.776471,0.787775,46.440921,47.228696,643.942383,result_Number0_UR0.5_for_WS100_NE30.csv,100,30,0.5
999,0.390390,0.390390,0.365677,0.365677,0.302960,0.302960,0.269404,0.269404,0.000000,0.000000,-0.071241,-0.071241,-0.791176,-0.791176,0.914862,46.462091,47.376953,633.305664,result_Number0_UR0.6000000000000001_for_WS100_NE30.csv,100,30,0.6000000000000001
999,0.398398,0.398398,0.369366,0.369366,0.303478,0.303478,0.269654,0.269654,0.000000,1.000000,-0.071615,-0.071615,-0.767647,-0.767647,0.864785,47.475634,48.340420,622.977539,result_Number0_UR0.7000000000000001_for_WS100_NE30.csv,100,30,0.7000000000000001
999,0.415415,0.415415,0.371830,0.371830,0.300025,0.300025,0.266388,0.266388,0.000000,1.000000,-0.082601,-0.082601,-0.717647,-0.717647,0.852722,47.503554,48.356275,647.250977,result_Number0_UR0.8_for_WS100_NE30.csv,100,30,0.8
999,0.408408,0.408408,0.376062,0.376062,0.307190,0.307190,0.273288,0.273288,0.000000,0.000000,-0.063472,-0.063472,-0.738235,-0.738235,0.846651,46.577439,47.424090,625.000977,result_Number0_UR0.9_for_WS100_NE30.csv,100,30,0.9
