MAnomalyRate,samples_seen_MAnomalyRate,param,window,estimators
1,100,result_Number0_UR0.0_for_WS100_NE30updated_count.csv,100,30
1,200,,,
1,300,,,
1,400,,,
1,500,,,
1,600,,,
1,700,,,
1,800,,,
1,900,,,
1,100,result_Number0_UR0.1_for_WS100_NE30updated_count.csv,100,30
1,200,,,
1,300,,,
1,400,,,
1,500,,,
1,600,,,
1,700,,,
1,800,,,
1,900,,,
1,100,result_Number0_UR0.2_for_WS100_NE30updated_count.csv,100,30
1,200,,,
1,300,,,
1,400,,,
1,500,,,
1,600,,,
1,700,,,
1,800,,,
1,900,,,
1,100,result_Number0_UR0.30000000000000004_for_WS100_NE30updated_count.csv,100,30
1,200,,,
1,300,,,
1,400,,,
1,500,,,
1,600,,,
1,700,,,
1,800,,,
1,900,,,
1,100,result_Number0_UR0.4_for_WS100_NE30updated_count.csv,100,30
1,200,,,
1,300,,,
1,400,,,
1,500,,,
1,600,,,
1,700,,,
1,800,,,
1,900,,,
1,100,result_Number0_UR0.5_for_WS100_NE30updated_count.csv,100,30
1,200,,,
1,300,,,
1,400,,,
1,500,,,
1,600,,,
1,700,,,
1,800,,,
1,900,,,
1,100,result_Number0_UR0.6000000000000001_for_WS100_NE30updated_count.csv,100,30
1,200,,,
1,300,,,
1,400,,,
1,500,,,
1,600,,,
1,700,,,
1,800,,,
1,900,,,
1,100,result_Number0_UR0.7000000000000001_for_WS100_NE30updated_count.csv,100,30
1,200,,,
1,300,,,
1,400,,,
1,500,,,
1,600,,,
1,700,,,
1,800,,,
1,900,,,
1,100,result_Number0_UR0.8_for_WS100_NE30updated_count.csv,100,30
1,200,,,
1,300,,,
1,400,,,
1,500,,,
1,600,,,
1,700,,,
1,800,,,
1,900,,,
1,100,result_Number0_UR0.9_for_WS100_NE30updated_count.csv,100,30
1,200,,,
1,300,,,
1,400,,,
1,500,,,
1,600,,,
1,700,,,
1,800,,,
1,900,,,
