mean_acc_[M_IFA],mean_f1_[M_IFA],mean_precision_[M_IFA],mean_recall_[M_IFA],mean_kappa_[M_IFA],mean_kappa_m_[M_IFA],estimators,update_estimators
0.393393,0.366788,0.302720,0.269023,-0.072591,-0.782353,30,0.0
0.426426,0.390337,0.316746,0.282868,-0.040650,-0.685294,30,0.1
0.384384,0.359913,0.298432,0.264945,-0.081795,-0.808824,30,0.2
0.397397,0.374634,0.311690,0.278165,-0.050081,-0.770588,30,0.30000000000000004
0.413413,0.382933,0.313496,0.279614,-0.047852,-0.723529,30,0.4
0.395395,0.370944,0.307420,0.273831,-0.060659,-0.776471,30,0.5
0.390390,0.365677,0.302960,0.269404,-0.071241,-0.791176,30,0.6000000000000001
0.398398,0.369366,0.303478,0.269654,-0.071615,-0.767647,30,0.7000000000000001
0.415415,0.371830,0.300025,0.266388,-0.082601,-0.717647,30,0.8
0.408408,0.376062,0.307190,0.273288,-0.063472,-0.738235,30,0.9
