AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN,PCANDKSWIN,samples_seen_PCANDKSWIN,param,window,estimators
1,100,0,100,0,100,0,100,0,100,result_Number0_for_WS100_NE30updated_count.csv,100,30
1,200,0,200,0,200,1,200,0,200,,,
1,300,0,300,0,300,0,300,1,300,,,
1,400,0,400,0,400,0,400,0,400,,,
1,500,0,500,0,500,0,500,0,500,,,
1,600,0,600,0,600,0,600,0,600,,,
1,700,0,700,0,700,0,700,0,700,,,
1,800,0,800,0,800,0,800,0,800,,,
1,900,0,900,0,900,0,900,0,900,,,
,# TEST CONFIGURATION END,param,window,estimators
0,model_size_[PCA_NDKSWIN_IFA],,,
1,678.482422,,,
2,,result_Number0_for_WS100_NE30.csv,,
