AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN,param,window,estimators
1,100,0,200,0,200,0,100,result_Number0_for_WS100_NE30updated_count.csv,100,30
1,200,0,300,0,300,0,200,,,
1,300,0,400,0,400,1,300,,,
1,400,0,500,0,500,0,400,,,
1,500,0,600,0,600,0,500,,,
1,600,0,700,0,700,0,600,,,
1,700,0,800,0,800,0,700,,,
1,800,0,900,0,900,0,800,,,
1,900,0,1000,0,1000,0,900,,,
1,1000,0,1100,0,1100,0,1000,,,
1,1100,0,1200,0,1200,0,1100,,,
1,1200,0,1300,0,1300,1,1200,,,
1,1300,0,1400,0,1400,0,1300,,,
1,1400,0,1500,0,1500,0,1400,,,
1,1500,0,1600,0,1600,0,1500,,,
1,1600,0,1700,0,1700,0,1600,,,
1,1700,0,1800,0,1800,0,1700,,,
1,1800,0,1900,0,1900,0,1800,,,
1,1900,0,2000,0,2000,0,1900,,,
1,2000,0,2100,0,2100,0,2000,,,
1,2100,0,2200,0,2200,1,2100,,,
1,2200,0,2300,0,2300,0,2200,,,
1,2300,0,2400,0,2400,0,2300,,,
1,2400,0,2500,0,2500,0,2400,,,
1,2500,0,2600,0,2600,0,2500,,,
1,2600,0,2700,0,2700,0,2600,,,
1,2700,0,2800,0,2800,0,2700,,,
1,2800,0,2900,0,2900,0,2800,,,
1,2900,0,3000,0,3000,0,2900,,,
1,3000,0,3100,0,3100,0,3000,,,
1,3100,0,3200,0,3200,0,3100,,,
1,3200,0,3300,0,3300,0,3200,,,
1,3300,0,3400,0,3400,0,3300,,,
1,3400,0,3500,0,3500,0,3400,,,
1,3500,0,3600,0,3600,0,3500,,,
1,3600,0,3700,0,3700,0,3600,,,
1,3700,0,3800,0,3800,0,3700,,,
1,3800,0,3900,0,3900,0,3800,,,
1,3900,0,4000,0,4000,0,3900,,,
1,4000,0,4100,0,4100,0,4000,,,
1,4100,0,4200,0,4200,0,4100,,,
1,4200,0,4300,0,4300,0,4200,,,
1,4300,0,4400,0,4400,0,4300,,,
1,4400,0,4500,0,4500,0,4400,,,
